Image,Label
image_figures_0.png,"""shipwreck"","
image_figures_1.png,"""vase"","
image_figures_2.png,"""corn"","
image_figures_3.png,"""vase"","
image_figures_4.png,"""fire engine"","
image_figures_5.png,"""water tower"","
image_figures_6.png,"""horse-drawn vehicle"","
image_figures_7.png,"""shipwreck"","
image_figures_8.png,"""shipwreck"","
image_figures_9.png,"""couch"","
image_figures_10.png,"""patio"","
image_figures_11.png,"""vase"","
image_figures_12.png,"""couch"","
image_figures_13.png,"""indigo bunting"","
image_figures_14.png,"""horse-drawn vehicle"","
image_figures_15.png,"""patio"","
image_figures_16.png,"""goldfinch"","
image_figures_17.png,"""patio"","
image_figures_18.png,"""indigo bunting"","
image_figures_19.png,"""vulture"","
image_figures_20.png,"""automated teller machine"","
image_figures_21.png,"""water jug"","
image_figures_22.png,"""vulture"","
image_figures_23.png,"""indigo bunting"","
image_figures_24.png,"""water tower"","
image_figures_25.png,"""shipwreck"","
image_figures_26.png,"""couch"","
image_figures_27.png,"""patio"","
image_figures_28.png,"""couch"","
image_figures_29.png,"""scarf"","
image_figures_30.png,"""couch"","
image_figures_31.png,"""water jug"","
image_figures_32.png,"""shipwreck"","
image_figures_33.png,"""horse-drawn vehicle"","
image_figures_34.png,"""water tower"","
image_figures_35.png,"""combination lock"","
image_figures_36.png,"""patio"","
image_figures_37.png,"""crane (machine)"","
image_figures_38.png,"""couch"","
image_figures_39.png,"""bullock cart"","
image_figures_40.png,"""chime"","
image_figures_41.png,"""vulture"","
image_figures_42.png,"""indigo bunting"","
image_figures_43.png,"""vulture"","
image_figures_44.png,"""backpack"","
image_figures_45.png,"""patio"","
image_figures_46.png,"""fire screen sheet"","
image_figures_47.png,"""lawn mower"","
image_figures_48.png,"""traffic light"","
image_figures_49.png,"""patio"","
image_figures_50.png,"""indigo bunting"","
image_figures_51.png,"""horse-drawn vehicle"","
image_figures_52.png,"""vulture"","
image_figures_53.png,"""tent"","
image_figures_54.png,"""water jug"","
image_figures_55.png,"""indigo bunting"","
image_figures_56.png,"""indigo bunting"","
image_figures_57.png,"""water jug"","
image_figures_58.png,"""goldfinch"","
image_figures_59.png,"""bullock cart"","
image_figures_60.png,"""indigo bunting"","
image_figures_61.png,"""stove"","
image_figures_62.png,"""suspension bridge"","
image_figures_63.png,"""backpack"","
image_figures_64.png,"""vase"","
image_figures_65.png,"""tool kit"","
image_figures_66.png,"""backpack"","
image_figures_67.png,"""shipwreck"","
image_figures_68.png,"""vulture"","
image_figures_69.png,"""patio"","
image_figures_70.png,"""goldfinch"","
image_figures_71.png,"""water jug"","
image_figures_72.png,"""combination lock"","
image_figures_73.png,"""goldfinch"","
image_figures_74.png,"""backpack"","
image_figures_75.png,"""shipwreck"","
image_figures_76.png,"""traffic light"","
image_figures_77.png,"""earth star"","
image_figures_78.png,"""dough"","
image_figures_79.png,"""water tower"","
image_figures_80.png,"""water jug"","
image_figures_81.png,"""lawn mower"","
image_figures_82.png,"""indigo bunting"","
image_figures_83.png,"""crane (machine)"","
image_figures_84.png,"""vase"","
image_figures_85.png,"""fire screen sheet"","
image_figures_86.png,"""water jug"","
image_figures_87.png,"""horse-drawn vehicle"","
image_figures_88.png,"""couch"","
image_figures_89.png,"""indigo bunting"","
image_figures_90.png,"""couch"","
image_figures_91.png,"""indigo bunting"","
image_figures_92.png,"""shipwreck"","
image_figures_93.png,"""goldfinch"","
image_figures_94.png,"""vulture"","
image_figures_95.png,"""water jug"","
image_figures_96.png,"""water jug"","
image_figures_97.png,"""water jug"","
image_figures_98.png,"""patio"","
image_figures_99.png,"""indigo bunting"","
image_figures_100.png,"""vase"","
image_figures_101.png,"""horse-drawn vehicle"","
image_figures_102.png,"""traffic light"","
image_figures_103.png,"""horse-drawn vehicle"","
image_figures_104.png,"""horse-drawn vehicle"","
