Saliency Map Path,Label
image_figures_0.png,"""tow truck"","
image_figures_1.png,"""mobile home"","
image_figures_2.png,"""bison"","
image_figures_3.png,"""mobile home"","
image_figures_4.png,"""barn"","
image_figures_5.png,"""bison"","
image_figures_6.png,"""thatched roof"","
image_figures_7.png,"""geyser"","
image_figures_8.png,"""unicycle"","
image_figures_9.png,"""mobile home"","
image_figures_10.png,"""amphibious vehicle"","
image_figures_11.png,"""yurt"","
image_figures_12.png,"""lakeshore"","
image_figures_13.png,"""split-rail fence"","
image_figures_14.png,"""geyser"","
image_figures_15.png,"""valley"","
image_figures_16.png,"""seashore"","
image_figures_17.png,"""geyser"","
image_figures_18.png,"""alp"","
image_figures_19.png,"""split-rail fence"","
image_figures_20.png,"""mobile home"","
image_figures_21.png,"""greenhouse"","
image_figures_22.png,"""valley"","
image_figures_23.png,"""barn"","
image_figures_24.png,"""split-rail fence"","
image_figures_25.png,"""geyser"","
image_figures_26.png,"""shoal"","
image_figures_27.png,"""mountain bike"","
image_figures_28.png,"""geyser"","
image_figures_29.png,"""plow"","
image_figures_30.png,"""shoal"","
image_figures_31.png,"""dam"","
image_figures_32.png,"""pole"","
image_figures_33.png,"""pole"","
image_figures_34.png,"""geyser"","
image_figures_35.png,"""pole"","
image_figures_36.png,"""plow"","
image_figures_37.png,"""swing"","
image_figures_38.png,"""apiary"","
image_figures_39.png,"""maze"","
image_figures_40.png,"""valley"","
image_figures_41.png,"""valley"","
image_figures_42.png,"""valley"","
image_figures_43.png,"""swing"","
image_figures_44.png,"""castle"","
image_figures_45.png,"""birdhouse"","
image_figures_46.png,"""yurt"","
image_figures_47.png,"""shoal"","
image_figures_48.png,"""shoal"","
image_figures_49.png,"""cliff"","
image_figures_50.png,"""mountain bike"","
image_figures_51.png,"""cliff"","
image_figures_52.png,"""steam locomotive"","
image_figures_53.png,"""stretcher"","
image_figures_54.png,"""lakeshore"","
image_figures_55.png,"""shoal"","
image_figures_56.png,"""viaduct"","
image_figures_57.png,"""viaduct"","
image_figures_58.png,"""pole"","
image_figures_59.png,"""valley"","
image_figures_60.png,"""maze"","
image_figures_61.png,"""crane (machine)"","
image_figures_62.png,"""bobsleigh"","
image_figures_63.png,"""geyser"","
image_figures_64.png,"""alp"","
image_figures_65.png,"""hay"","
image_figures_66.png,"""electric locomotive"","
image_figures_67.png,"""barn"","
image_figures_68.png,"""pole"","
image_figures_69.png,"""ambulance"","
image_figures_70.png,"""pole"","
image_figures_71.png,"""greenhouse"","
image_figures_72.png,"""cliff"","
image_figures_73.png,"""mobile home"","
image_figures_74.png,"""greenhouse"","
image_figures_75.png,"""mountain bike"","
image_figures_76.png,"""tent"","
image_figures_77.png,"""garbage truck"","
image_figures_78.png,"""mountain bike"","
image_figures_79.png,"""geyser"","
image_figures_80.png,"""valley"","
image_figures_81.png,"""electric locomotive"","
image_figures_82.png,"""snowplow"","
image_figures_83.png,"""thatched roof"","
image_figures_84.png,"""wheelbarrow"","
image_figures_85.png,"""pole"","
image_figures_86.png,"""freight car"","
image_figures_87.png,"""chainsaw"","
image_figures_88.png,"""geyser"","
image_figures_89.png,"""shopping cart"","
image_figures_90.png,"""valley"","
image_figures_91.png,"""traffic light"","
image_figures_92.png,"""chain-link fence"","
image_figures_93.png,"""hay"","
image_figures_94.png,"""rain barrel"","
image_figures_95.png,"""valley"","
image_figures_96.png,"""valley"","
image_figures_97.png,"""mountain bike"","
image_figures_98.png,"""cliff"","
image_figures_99.png,"""shoal"","
image_figures_100.png,"""mobile home"","
image_figures_101.png,"""yurt"","
image_figures_102.png,"""binoculars"","
image_figures_103.png,"""prison"","
image_figures_104.png,"""pulled rickshaw"","
image_figures_105.png,"""sliding door"","
image_figures_106.png,"""garfish"","
image_figures_107.png,"""clogs"","
image_figures_108.png,"""square academic cap"","
image_figures_109.png,"""prison"","
image_figures_110.png,"""lakeshore"","
image_figures_111.png,"""basketball"","
image_figures_112.png,"""cliff"","
image_figures_113.png,"""patio"","
image_figures_114.png,"""sliding door"","
image_figures_115.png,"""stretcher"","
image_figures_116.png,"""apiary"","
image_figures_117.png,"""stone wall"","
image_figures_118.png,"""minivan"","
image_figures_119.png,"""swing"","
image_figures_120.png,"""valley"","
image_figures_121.png,"""maze"","
image_figures_122.png,"""maze"","
image_figures_123.png,"""maze"","
image_figures_124.png,"""canoe"","
image_figures_125.png,"""maze"","
image_figures_126.png,"""maze"","
image_figures_127.png,"""valley"","
image_figures_128.png,"""stretcher"","
image_figures_129.png,"""picket fence"","
