Saliency Map Path,Label
image_figures_0.png,"""forklift"","
image_figures_1.png,"""mobile home"","
image_figures_2.png,"""split-rail fence"","
image_figures_3.png,"""mobile home"","
image_figures_4.png,"""harvester"","
image_figures_5.png,"""split-rail fence"","
image_figures_6.png,"""alp"","
image_figures_7.png,"""megalith"","
image_figures_8.png,"""traffic light"","
image_figures_9.png,"""stone wall"","
image_figures_10.png,"""tank"","
image_figures_11.png,"""apiary"","
image_figures_12.png,"""lakeshore"","
image_figures_13.png,"""boathouse"","
image_figures_14.png,"""valley"","
image_figures_15.png,"""valley"","
image_figures_16.png,"""lakeshore"","
image_figures_17.png,"""geyser"","
image_figures_18.png,"""cliff"","
image_figures_19.png,"""split-rail fence"","
image_figures_20.png,"""mobile home"","
image_figures_21.png,"""solar thermal collector"","
image_figures_22.png,"""canoe"","
image_figures_23.png,"""church"","
image_figures_24.png,"""split-rail fence"","
image_figures_25.png,"""shoal"","
image_figures_26.png,"""shoal"","
image_figures_27.png,"""shoal"","
image_figures_28.png,"""jeep"","
image_figures_29.png,"""plow"","
image_figures_30.png,"""shoal"","
image_figures_31.png,"""valley"","
image_figures_32.png,"""pole"","
image_figures_33.png,"""pole"","
image_figures_34.png,"""geyser"","
image_figures_35.png,"""pole"","
image_figures_36.png,"""suspension bridge"","
image_figures_37.png,"""swing"","
image_figures_38.png,"""apiary"","
image_figures_39.png,"""shoal"","
image_figures_40.png,"""valley"","
image_figures_41.png,"""valley"","
image_figures_42.png,"""mountain bike"","
image_figures_43.png,"""mobile home"","
image_figures_44.png,"""cliff"","
image_figures_45.png,"""birdhouse"","
image_figures_46.png,"""yurt"","
image_figures_47.png,"""sawmill"","
image_figures_48.png,"""shoal"","
image_figures_49.png,"""cliff"","
image_figures_50.png,"""mountain bike"","
image_figures_51.png,"""dam"","
image_figures_52.png,"""freight car"","
image_figures_53.png,"""stretcher"","
image_figures_54.png,"""lakeshore"","
image_figures_55.png,"""shoal"","
image_figures_56.png,"""mailbox"","
image_figures_57.png,"""cliff"","
image_figures_58.png,"""pole"","
image_figures_59.png,"""volcano"","
image_figures_60.png,"""hay"","
image_figures_61.png,"""crane (machine)"","
image_figures_62.png,"""bobsleigh"","
image_figures_63.png,"""mountain bike"","
image_figures_64.png,"""volcano"","
image_figures_65.png,"""dam"","
image_figures_66.png,"""pole"","
image_figures_67.png,"""barn"","
image_figures_68.png,"""pole"","
image_figures_69.png,"""tow truck"","
image_figures_70.png,"""pole"","
image_figures_71.png,"""dam"","
image_figures_72.png,"""cliff"","
image_figures_73.png,"""yurt"","
image_figures_74.png,"""greenhouse"","
image_figures_75.png,"""stone wall"","
image_figures_76.png,"""tent"","
image_figures_77.png,"""garbage truck"","
image_figures_78.png,"""mountain bike"","
image_figures_79.png,"""mountain bike"","
image_figures_80.png,"""valley"","
image_figures_81.png,"""mobile home"","
image_figures_82.png,"""dam"","
image_figures_83.png,"""baluster"","
image_figures_84.png,"""wheelbarrow"","
image_figures_85.png,"""pole"","
image_figures_86.png,"""split-rail fence"","
image_figures_87.png,"""chainsaw"","
image_figures_88.png,"""mountain bike"","
image_figures_89.png,"""semi-trailer truck"","
image_figures_90.png,"""valley"","
image_figures_91.png,"""flagpole"","
image_figures_92.png,"""chain-link fence"","
image_figures_93.png,"""pole"","
image_figures_94.png,"""rain barrel"","
image_figures_95.png,"""alp"","
image_figures_96.png,"""alp"","
image_figures_97.png,"""plow"","
image_figures_98.png,"""cliff"","
image_figures_99.png,"""shoal"","
image_figures_100.png,"""mobile home"","
image_figures_101.png,"""Afghan Hound"","
image_figures_102.png,"""minibus"","
image_figures_103.png,"""prison"","
image_figures_104.png,"""academic gown"","
image_figures_105.png,"""paintbrush"","
image_figures_106.png,"""sturgeon"","
image_figures_107.png,"""cello"","
image_figures_108.png,"""sunscreen"","
image_figures_109.png,"""prison"","
image_figures_110.png,"""lakeshore"","
image_figures_111.png,"""shoe store"","
image_figures_112.png,"""bulletproof vest"","
image_figures_113.png,"""patio"","
image_figures_114.png,"""sawmill"","
image_figures_115.png,"""library"","
image_figures_116.png,"""apiary"","
image_figures_117.png,"""shopping cart"","
image_figures_118.png,"""minivan"","
image_figures_119.png,"""swing"","
image_figures_120.png,"""school bus"","
image_figures_121.png,"""maze"","
image_figures_122.png,"""stretcher"","
image_figures_123.png,"""maze"","
image_figures_124.png,"""canoe"","
image_figures_125.png,"""maze"","
image_figures_126.png,"""maze"","
image_figures_127.png,"""volcano"","
image_figures_128.png,"""stretcher"","
image_figures_129.png,"""dam"","
image_figures_130.png,"""torch"","
image_figures_131.png,"""tow truck"","
image_figures_132.png,"""minivan"","
image_figures_133.png,"""thatched roof"","
image_figures_134.png,"""crutch"","
image_figures_135.png,"""chainsaw"","
image_figures_136.png,"""shoal"","
image_figures_137.png,"""unicycle"","
image_figures_138.png,"""sliding door"","
image_figures_139.png,"""split-rail fence"","
image_figures_140.png,"""apron"","
image_figures_141.png,"""handkerchief"","
image_figures_142.png,"""pole"","
image_figures_143.png,"""carousel"","
image_figures_144.png,"""broom"","
image_figures_145.png,"""desk"","
image_figures_146.png,"""maypole"","
image_figures_147.png,"""gas pump"","
image_figures_148.png,"""sturgeon"","
image_figures_149.png,"""mountain bike"","
image_figures_150.png,"""overskirt"","
image_figures_151.png,"""plow"","
image_figures_152.png,"""fire engine"","
image_figures_153.png,"""scooter"","
image_figures_154.png,"""waste container"","
image_figures_155.png,"""brass"","
image_figures_156.png,"""plow"","
image_figures_157.png,"""barbershop"","
image_figures_158.png,"""swing"","
image_figures_159.png,"""microwave oven"","
image_figures_160.png,"""restaurant"","
image_figures_161.png,"""ox"","
image_figures_162.png,"""solar thermal collector"","
image_figures_163.png,"""barbershop"","
image_figures_164.png,"""turnstile"","
image_figures_165.png,"""picket fence"","
image_figures_166.png,"""minivan"","
image_figures_167.png,"""stone wall"","
image_figures_168.png,"""restaurant"","
image_figures_169.png,"""fire engine"","
image_figures_170.png,"""stretcher"","
image_figures_171.png,"""shipwreck"","
image_figures_172.png,"""plastic bag"","
image_figures_173.png,"""library"","
image_figures_174.png,"""barbershop"","
image_figures_175.png,"""valley"","
image_figures_176.png,"""stretcher"","
image_figures_177.png,"""pole"","
image_figures_178.png,"""cliff dwelling"","
image_figures_179.png,"""restaurant"","
image_figures_180.png,"""pole"","
image_figures_181.png,"""library"","
image_figures_182.png,"""mobile home"","
image_figures_183.png,"""lab coat"","
image_figures_184.png,"""four-poster bed"","
